datetime,soilCO2concentrationMean,soilTempMean,VSWCMean,VSICMean,windSpeedMean,windDirMean,RHMean,tempRHMean,dewTempMean,soilCO2concentrationMinimum,soilTempMinimum,VSWCMinimum,VSICMinimum,windSpeedMinimum,RHMinimum,tempRHMinimum,dewTempMinimum,soilCO2concentrationMaximum,soilTempMaximum,VSWCMaximum,VSICMaximum,windSpeedMaximum,RHMaximum,tempRHMaximum,dewTempMaximum,soilCO2concentrationVariance,soilTempVariance,VSWCVariance,VSICVariance,windSpeedVariance,windDirVariance,RHVariance,tempRHVariance,dewTempVariance,TFPrecipBulk,wind_sin,wind_cos,TFPrecip_flag
2021-01-01 00:00:00+00:00,1523.1926666666666,16.923,0.07214000000000001,965.9125,0.207,106.407,81.25166666666668,21.704133333333335,18.301499999999997,1507.98,16.903,0.0719,961.874,0.0,79.82,21.356,18.221,1544.11,16.939,0.0727,969.444,0.81,84.04,21.938,18.528,258.07175047816094,3.590271264367816e-11,0.0,0.2654133609195402,2.057471264367816e-05,686395.6454078844,0.0008868965517241381,1.8505747126436783e-07,9.60919540229885e-07,0.0,0.6867212842028589,0.07953646809062312,0.0
2021-01-01 00:30:00+00:00,1522.1196666666665,16.949433333333335,0.07217,965.4685333333333,0.22466666666666668,138.10133333333334,84.152,21.363966666666666,18.5303,1501.21,16.934,0.0718,962.368,0.0,82.91,21.221,18.356,1538.13,16.967,0.0727,967.628,0.6900000000000001,85.21,21.444,18.731,289.20040356781607,2.0699827586206903e-11,0.0,0.22476535747126436,2.5747126436781603e-05,661573.6241906368,0.0012110344827586203,0.0,1.374712643678161e-06,0.0,0.4014570608950065,0.035693533322908956,0.0
2021-01-01 01:00:00+00:00,1515.906,16.975733333333334,0.07248,964.4942333333333,0.2835,102.85249999999999,85.82733333333334,21.361033333333335,18.842533333333332,1495.27,16.958,0.0719,962.13,0.0,85.19,21.194,18.59,1534.51,16.992,0.0727,968.729,1.54,86.83,21.554,19.015,242.58761850574717,4.339291954022988e-11,0.0,0.12674399999999997,0.00019715517241379322,538343.6711979184,0.0011136781609195406,6.436781609195401e-08,1.3620689655172418e-06,0.0,0.9452387299167576,-0.21409123377171213,0.0
2021-01-01 01:30:00+00:00,1498.878,17.002766666666666,0.07216666666666667,965.7378333333332,0.388,134.62083333333334,86.22266666666665,21.620166666666666,19.17073333333333,1469.16,16.984,0.0718,962.35,0.0,85.31,21.432,18.99,1525.42,17.017,0.0727,968.398,1.88,87.54,21.853,19.273,226.1536064367817,2.7978862068965517e-11,0.0,0.22089970229885048,0.0008468103448275867,536730.2072222925,9.379310344827587e-05,0.0,3.333333333333335e-08,0.0,0.6819812896150085,-0.6733589957991056,0.0
2021-01-01 02:00:00+00:00,1475.5103333333332,17.029633333333333,0.07225333333333334,964.8549,0.2951666666666667,127.154,88.22533333333334,21.397933333333334,19.320833333333333,1455.31,17.012,0.0718,961.839,0.0,87.37,21.223,19.203,1500.47,17.046,0.0727,968.398,1.46,89.48,21.534,19.475,197.2134437931035,1.909081609195402e-11,0.0,0.3101295965517242,0.00023091954022988505,624586.5042922129,0.0002529885057471264,3.333333333333334e-08,1.655172413793104e-07,0.0,0.7745325485545697,-0.5844968282183938,0.0
2021-01-01 02:30:00+00:00,1463.7546666666667,17.057666666666666,0.07254666666666668,964.1175000000001,0.4231666666666667,117.66816666666666,90.58033333333333,21.141099999999998,19.491466666666668,1442.27,17.038,0.072,962.095,0.02,89.22,20.942,19.334,1480.86,17.074,0.0727,968.27,1.95,91.88,21.31,19.656,247.46743326436783,1.3913609195402302e-11,0.0,0.37836537471264375,0.0007397988505747121,771675.4083712881,0.0002754022988505747,6.436781609195402e-08,2.540229885057472e-07,0.0,0.8643244899693595,-0.4563285972131121,0.0
2021-01-01 03:00:00+00:00,1461.7756666666667,17.0847,0.07248333333333333,963.4203,0.45216666666666666,133.36816666666667,92.50033333333334,20.9941,19.683966666666667,1445.64,17.065,0.0719,962.077,0.01,91.22,20.864,19.558,1482.54,17.099,0.0727,966.675,2.0,93.67,21.164,19.81,203.92717901609194,2.3410402298850577e-11,0.0,0.2789885333333334,0.0007254022988505746,535015.5581873026,0.0001264367816091954,0.0,1.6551724137931034e-07,0.0,0.6896982006664777,-0.6509634060996939,0.0
2021-01-01 03:30:00+00:00,1452.8136666666667,17.1109,0.07249666666666667,963.2265333333332,0.48983333333333334,127.22216666666667,92.537,21.07443333333333,19.770133333333334,1436.82,17.095,0.0718,961.821,0.01,91.4,20.926,19.702,1473.17,17.127,0.0727,967.921,2.21,93.52,21.249,19.832,231.69144274023,2.8925471264367825e-11,0.0,0.3031631724137931,0.001751609195402299,540624.6049419434,3.402298850574712e-05,0.0,0.0,0.0,0.7432925193528717,-0.5692451193601309,0.0
2021-01-01 04:00:00+00:00,1441.7066666666665,17.137099999999997,0.0726,962.3168333333334,0.49733333333333335,154.6655,92.24466666666667,21.030166666666666,19.6753,1419.03,17.123,0.0725,961.566,0.0,91.4,20.811,19.596,1463.26,17.153,0.0726,963.489,1.95,93.18,21.207,19.781,230.5895779724138,3.714896551724139e-12,0.0,0.003077219540229885,0.0019581896551724137,501798.619874382,2.712643678160919e-05,0.0,0.0,0.0,0.39572871490414524,-0.8412439825056011,0.0
2021-01-01 04:30:00+00:00,1434.8163333333332,17.162033333333333,0.07258333333333332,962.4067666666667,0.45583333333333337,143.30116666666666,92.80099999999999,20.902966666666668,19.64653333333333,1417.14,17.147,0.0724,961.804,0.02,92.25,20.804,19.553,1450.49,17.179,0.0726,963.762,2.06,93.47,21.006,19.712,254.7204795172414,2.3702758620689654e-11,0.0,0.0041284379310344834,0.0009904885057471263,373860.16557733674,6.678160919540229e-05,0.0,9.310344827586207e-08,0.0,0.5816816466847964,-0.7777362757649424,0.0
