,datetime,soilCO2concentrationMean,soilTempMean,VSWCMean,VSICMean,windSpeedMean,windDirMean,RHMean,tempRHMean,dewTempMean,soilCO2concentrationMinimum,soilTempMinimum,VSWCMinimum,VSICMinimum,windSpeedMinimum,RHMinimum,tempRHMinimum,dewTempMinimum,soilCO2concentrationMaximum,soilTempMaximum,VSWCMaximum,VSICMaximum,windSpeedMaximum,RHMaximum,tempRHMaximum,dewTempMaximum,soilCO2concentrationVariance,soilTempVariance,VSWCVariance,VSICVariance,windSpeedVariance,windDirVariance,RHVariance,tempRHVariance,dewTempVariance
0,2021-01-01 00:00:00+00:00,1523.1926666666666,16.923,0.07214000000000001,965.9125,0.207,106.407,81.25166666666668,21.704133333333335,18.301499999999997,1507.98,16.903,0.0719,961.874,0.0,79.82,21.356,18.221,1544.11,16.939,0.0727,969.444,0.81,84.04,21.938,18.528,800.2858017885058,3.590271264367816e-11,0.0,0.2857426310344827,2.057471264367816e-05,1372142.0928518677,0.0008868965517241381,1.8505747126436783e-07,9.60919540229885e-07
1,2021-01-01 00:30:00+00:00,1522.1196666666665,16.949433333333335,0.07217,965.4685333333333,0.22466666666666668,138.10133333333334,84.152,21.363966666666666,18.5303,1501.21,16.934,0.0718,962.368,0.0,82.91,21.221,18.356,1538.13,16.967,0.0727,967.628,0.6900000000000001,85.21,21.444,18.731,669.5856201885059,2.0699827586206903e-11,0.0,0.30648811954022986,2.5747126436781603e-05,2068186.3201880748,0.0012110344827586203,0.0,1.374712643678161e-06
2,2021-01-01 01:00:00+00:00,1515.906,16.975733333333334,0.07248,964.4942333333333,0.2835,102.85249999999999,85.82733333333334,21.361033333333335,18.842533333333332,1495.27,16.958,0.0719,962.13,0.0,85.19,21.194,18.59,1534.51,16.992,0.0727,968.729,1.54,86.83,21.554,19.015,1402.508777126437,4.339291954022988e-11,0.0,0.19116871264367818,0.00019715517241379322,624653.5016922128,0.0011136781609195406,6.436781609195401e-08,1.3620689655172418e-06
3,2021-01-01 01:30:00+00:00,1498.878,17.002766666666666,0.07216666666666667,965.7378333333332,0.388,134.62083333333334,86.22266666666665,21.620166666666666,19.17073333333333,1469.16,16.984,0.0718,962.35,0.0,85.31,21.432,18.99,1525.42,17.017,0.0727,968.398,1.88,87.54,21.853,19.273,1295.0307581609193,2.7978862068965517e-11,0.0,0.2702061333333333,0.0008468103448275867,2658016.5783008332,9.379310344827587e-05,0.0,3.333333333333335e-08
4,2021-01-01 02:00:00+00:00,1475.5103333333332,17.029633333333333,0.07225333333333334,964.8549,0.2951666666666667,127.154,88.22533333333334,21.397933333333334,19.320833333333333,1455.31,17.012,0.0718,961.839,0.0,87.37,21.223,19.203,1500.47,17.046,0.0727,968.398,1.46,89.48,21.534,19.475,556.8714368965518,1.909081609195402e-11,0.0,0.9461028609195402,0.00023091954022988505,941616.2351420686,0.0002529885057471264,3.333333333333334e-08,1.655172413793104e-07
5,2021-01-01 02:30:00+00:00,1463.7546666666667,17.057666666666666,0.07254666666666668,964.1175000000001,0.4231666666666667,117.66816666666666,90.58033333333333,21.141099999999998,19.491466666666668,1442.27,17.038,0.072,962.095,0.02,89.22,20.942,19.334,1480.86,17.074,0.0727,968.27,1.95,91.88,21.31,19.656,706.9687768275862,1.3913609195402302e-11,0.0,1.0267538850574711,0.0007397988505747121,1655819.9220656613,0.0002754022988505747,6.436781609195402e-08,2.540229885057472e-07
6,2021-01-01 03:00:00+00:00,1461.7756666666667,17.0847,0.07248333333333333,963.4203,0.45216666666666666,133.36816666666667,92.50033333333334,20.9941,19.683966666666667,1445.64,17.065,0.0719,962.077,0.01,91.22,20.864,19.558,1482.54,17.099,0.0727,966.675,2.0,93.67,21.164,19.81,889.6401863954023,2.3410402298850577e-11,0.0,0.4385896609195402,0.0007254022988505746,927512.5966502585,0.0001264367816091954,0.0,1.6551724137931034e-07
7,2021-01-01 03:30:00+00:00,1452.8136666666667,17.1109,0.07249666666666667,963.2265333333332,0.48983333333333334,127.22216666666667,92.537,21.07443333333333,19.770133333333334,1436.82,17.095,0.0718,961.821,0.01,91.4,20.926,19.702,1473.17,17.127,0.0727,967.921,2.21,93.52,21.249,19.832,801.7525666022989,2.8925471264367825e-11,0.0,0.5946121482758622,0.001751609195402299,2468381.9422609196,3.402298850574712e-05,0.0,0.0
8,2021-01-01 04:00:00+00:00,1441.7066666666665,17.137099999999997,0.0726,962.3168333333334,0.49733333333333335,154.6655,92.24466666666667,21.030166666666666,19.6753,1419.03,17.123,0.0725,961.566,0.0,91.4,20.811,19.596,1463.26,17.153,0.0726,963.489,1.95,93.18,21.207,19.781,1570.235032891954,3.714896551724139e-12,0.0,0.003077219540229885,0.0019581896551724137,923443.2830270403,2.712643678160919e-05,0.0,0.0
9,2021-01-01 04:30:00+00:00,1434.8163333333332,17.162033333333333,0.07258333333333332,962.4067666666667,0.45583333333333337,143.30116666666666,92.80099999999999,20.902966666666668,19.64653333333333,1417.14,17.147,0.0724,961.804,0.02,92.25,20.804,19.553,1450.49,17.179,0.0726,963.762,2.06,93.47,21.006,19.712,665.0770726206898,2.3702758620689654e-11,0.0,0.0041284379310344834,0.0009904885057471263,1389706.8690464369,6.678160919540229e-05,0.0,9.310344827586207e-08
10,2021-01-01 05:00:00+00:00,1435.849,17.1859,0.07251333333333333,962.5745666666667,0.5291666666666667,154.45466666666667,93.597,20.764366666666668,19.646666666666665,1421.49,17.171,0.0723,961.804,0.0,92.95,20.608,19.574,1453.99,17.202,0.0726,964.0,2.1,94.45,20.88,19.715,553.9572250850575,2.017098850574713e-11,0.0,0.007910257471264368,0.0017257471264367824,1052248.7058581605,5.988505747126436e-05,0.0,3.333333333333333e-08
11,2021-01-01 05:30:00+00:00,1434.0116666666665,17.208633333333335,0.0725,962.6214333333334,0.4843333333333334,146.07783333333333,94.88766666666668,20.558666666666667,19.663333333333334,1418.21,17.19,0.0724,962.042,0.02,94.34,20.453,19.612,1454.21,17.226,0.0725,963.56,1.97,95.57,20.66,19.735,761.1330377712643,2.92166091954023e-11,0.0,0.0019190988505747128,0.002068419540229886,434140.66675290227,3.9195402298850584e-05,0.0,3.333333333333333e-08
12,2021-01-01 06:00:00+00:00,1433.7636666666667,17.231266666666667,0.07249333333333333,962.7301,0.48016666666666663,150.2195,96.70333333333333,20.2908,19.702166666666667,1414.58,17.216,0.0722,962.025,0.0,95.19,20.19,19.564,1450.56,17.248,0.0725,964.459,1.75,97.72,20.45,19.803,1155.6593793344828,3.171136781609195e-11,0.0,0.007219085057471262,0.0008525574712643679,827837.9986654022,0.00019954022988505745,0.0,1.655172413793104e-07
13,2021-01-01 06:30:00+00:00,1431.9323333333334,17.2521,0.07244,962.7709333333333,0.32566666666666666,129.29266666666666,98.372,20.0388,19.727033333333335,1415.99,17.235,0.0724,962.263,0.0,97.56,19.801,19.601,1449.53,17.267,0.0725,963.542,1.39,99.08,20.206,19.814,684.6885929436783,2.283840229885058e-11,0.0,0.0012268609195402297,0.00023336206896551722,1083870.2136471265,4.60919540229885e-05,0.0,2.1264367816091954e-07
14,2021-01-01 07:00:00+00:00,1440.5023333333334,17.272066666666667,0.0724,962.8471000000001,0.30983333333333335,148.25666666666666,100.14433333333334,19.656766666666666,19.633,1421.78,17.259,0.0721,962.263,0.0,99.07,19.507,19.515,1463.53,17.285,0.0724,964.662,1.19,101.09,19.831,19.79,792.7442299999999,2.246547126436782e-11,0.0,0.01396376551724138,7.54022988505747e-05,1281424.5649956611,4.413793103448275e-05,0.0,2.344827586206897e-07
